image,score
cropped_images/images_crop_align_mtcnn/female/caucasian/noah-buscher-AUM5vcnuYd4-unsplash.jpg,5.392857142857143
cropped_images/images_crop_align_mtcnn/female/caucasian/11.jpg,6.642276422764229
cropped_images/images_crop_align_mtcnn/female/hispanic/joanna-nix-walkup-u7_TR3LGqhU-unsplash.jpg,7.380952380952381
cropped_images/images_crop_align_mtcnn/female/caucasian/human-3183056_1920.jpg,5.888888888888889
cropped_images/images_crop_align_mtcnn/male/hispanic/132.jpg,6.472868217054264
cropped_images/images_crop_align_mtcnn/female/caucasian/adult-1867889_1920.jpg,7.592592592592593
cropped_images/images_crop_align_mtcnn/male/hispanic/man-2087436_1920.jpg,5.382882882882884
cropped_images/images_crop_align_mtcnn/female/indian/woman-761642_1920.jpg,4.111111111111111
cropped_images/images_crop_align_mtcnn/female/asian/girl-5846478_1920.jpg,6.444444444444445
cropped_images/images_crop_align_mtcnn/male/hispanic/creative-christians-6EwRNsuhFo4-unsplash.jpg,5.354166666666667
cropped_images/images_crop_align_mtcnn/female/asian/alex-sorto-kNstJF4l5cA-unsplash.jpg,6.892857142857143
cropped_images/images_crop_align_mtcnn/male/caucasian/bruno-bucar-BGcjf5DzK_8-unsplash.jpg,5.752032520325203
cropped_images/images_crop_align_mtcnn/female/indian/make-up-artist-3987573_1920.jpg,6.344827586206897
cropped_images/images_crop_align_mtcnn/male/hispanic/male-4444163_1920.jpg,3.944444444444445
cropped_images/images_crop_align_mtcnn/female/asian/mathias-huysmans-U4JDjYmjn1g-unsplash.jpg,6.5
cropped_images/images_crop_align_mtcnn/female/caucasian/40.jpg,8.166666666666668
cropped_images/images_crop_align_mtcnn/male/caucasian/nathan-dumlao-4m2-An3yFx0-unsplash.jpg,6.198863636363637
cropped_images/images_crop_align_mtcnn/female/caucasian/marcel-strauss-4W0-5NOr6dg-unsplash.jpg,5.462962962962963
cropped_images/images_crop_align_mtcnn/male/black/pexels-alex-green-5699771.jpg,4.222222222222222
cropped_images/images_crop_align_mtcnn/male/caucasian/mateus-pinheiro-6e0z7TFIlo0-unsplash.jpg,6.458333333333333
cropped_images/images_crop_align_mtcnn/female/indian/women-4419736_1920.jpg,6.0
cropped_images/images_crop_align_mtcnn/female/indian/dollar-gill-Ciujwy5epq4-unsplash.jpg,8.1
